Country,2022 SDG Index Score,2022 SDG Index Rank,International Spillovers Score (0-100),International Spillovers Rank,Region,SDG1: No Poverty,,SDG2: No Hunger,,SDG3: Good Health and Well-Being,,SDG4: Quality Education,,SDG5: Gender Equality,,SDG6: Clean Water and Sanitation,,SDG7: Affordable and Clean Energy,,SDG8: Decent Work and Economic Growth,,"SDG9: Industry, Innovation and Infrastructure",,SDG10: Reduced Inequalities,,SDG11: Sustainable Cities and Communities,,SDG12: Responsible Consumption and Production,,SDG13: Climate Action,,SDG14: Life Below Water,,SDG15: Life on Land,,"SDG16: Peace, Justice and Strong Institutions",,SDG17: Partnerships for the Goals,
Finland,86.5,1,73.6,124,OECD,green,↑,orange,➚,orange,➚,green,↑,yellow,➚,yellow,➚,green,↑,yellow,↑,yellow,➚,yellow,➚,yellow,➚,orange,→,red,↓,orange,➚,orange,➚,yellow,➚,orange,➚
Denmark,85.6,2,66.2,137,OECD,green,↑,red,➚,yellow,➚,yellow,➚,yellow,↑,yellow,↑,green,↑,yellow,➚,yellow,↑,green,↑,yellow,➚,red,→,red,➚,orange,→,yellow,↑,yellow,➚,yellow,↑
Sweden,85.2,3,65.7,139,OECD,green,↑,red,➚,orange,➚,yellow,➚,green,↑,yellow,↑,green,↑,yellow,↑,yellow,➚,yellow,➚,yellow,➚,red,➚,red,→,red,→,red,➚,yellow,↑,yellow,↑
Norway,82.3,4,61.7,146,OECD,green,↑,red,→,yellow,➚,yellow,➚,green,↑,orange,➚,green,↑,orange,➚,yellow,➚,green,↑,yellow,↑,red,→,red,➚,orange,➚,red,➚,yellow,↑,green,↑
Austria,82.3,5,59.4,151,OECD,green,↑,orange,➚,orange,➚,yellow,➚,yellow,➚,yellow,↑,green,↑,yellow,➚,yellow,➚,yellow,→,yellow,↑,red,➚,red,➚,grey,,orange,→,yellow,➚,red,➚
Germany,82.2,6,60.7,149,OECD,green,↑,orange,➚,orange,➚,orange,➚,yellow,➚,yellow,↑,yellow,↑,yellow,↑,yellow,↑,yellow,➚,yellow,➚,red,➚,red,➚,orange,→,orange,➚,yellow,↑,yellow,↑
France,81.2,7,57.8,154,OECD,green,↑,orange,➚,orange,➚,orange,➚,yellow,➚,orange,➚,yellow,➚,orange,➚,yellow,↑,yellow,➚,yellow,➚,red,→,red,➚,orange,➚,orange,➚,orange,➚,orange,↑
Switzerland,80.8,8,52.1,157,OECD,yellow,➚,orange,➚,orange,➚,yellow,➚,yellow,➚,orange,➚,green,↑,orange,➚,orange,➚,orange,↓,yellow,➚,red,➚,orange,➚,grey,,red,➚,orange,➚,red,→
Ireland,80.7,9,61.2,147,OECD,green,↑,red,➚,yellow,➚,yellow,➚,yellow,➚,orange,➚,orange,↑,yellow,↑,yellow,➚,yellow,➚,yellow,➚,red,↓,red,➚,orange,➚,yellow,↑,yellow,↑,red,→
Estonia,80.6,10,63.6,143,OECD,yellow,➚,red,➚,orange,➚,green,↑,orange,↑,yellow,↑,orange,➚,yellow,➚,orange,➚,orange,➚,yellow,➚,red,→,red,➚,orange,➚,green,↑,orange,➚,orange,➚
United Kingdom,80.6,11,59.2,152,OECD,yellow,➚,red,→,orange,➚,yellow,➚,yellow,↑,yellow,↑,yellow,↑,orange,➚,yellow,↑,orange,↓,yellow,→,orange,➚,red,➚,orange,➚,yellow,↑,orange,➚,red,➚
Poland,80.5,12,80.9,116,OECD,green,↑,orange,➚,orange,➚,yellow,↑,yellow,➚,yellow,↑,red,→,yellow,➚,orange,↑,yellow,➚,orange,→,orange,↑,red,→,red,→,green,↑,yellow,➚,red,➚
Czech Republic,80.5,13,67.6,132,OECD,green,↑,red,➚,orange,➚,yellow,➚,orange,➚,yellow,↑,orange,➚,yellow,↑,orange,➚,yellow,➚,yellow,↑,red,→,red,→,grey,,yellow,↑,yellow,➚,red,➚
Latvia,80.3,14,67.7,130,OECD,yellow,➚,red,→,orange,➚,yellow,➚,orange,➚,orange,↑,yellow,↑,yellow,➚,red,➚,red,↓,yellow,➚,red,→,red,→,orange,➚,green,↑,yellow,↑,red,→
Slovenia,80.0,15,60.9,148,OECD,green,↑,red,➚,yellow,➚,yellow,➚,yellow,➚,orange,↑,yellow,➚,green,↑,orange,↑,yellow,➚,yellow,➚,red,➚,red,→,red,→,orange,➚,yellow,➚,orange,➚
Spain,79.9,16,66.9,136,OECD,yellow,➚,red,➚,yellow,➚,yellow,➚,yellow,↑,yellow,↑,yellow,➚,red,↑,orange,➚,orange,➚,yellow,➚,orange,→,red,➚,orange,➚,red,→,yellow,➚,orange,➚
Netherlands,79.9,17,44.4,160,OECD,green,↑,red,➚,yellow,➚,yellow,➚,yellow,➚,yellow,↑,orange,➚,yellow,↑,yellow,↑,yellow,→,yellow,↑,red,➚,red,➚,red,→,orange,↑,orange,↑,red,→
Belgium,79.7,18,54.0,156,OECD,green,↑,orange,➚,orange,➚,orange,➚,yellow,↑,orange,↑,orange,➚,yellow,↑,yellow,➚,yellow,↑,yellow,➚,red,➚,red,→,red,➚,orange,➚,yellow,➚,orange,➚
Japan,79.6,19,67.3,134,OECD,yellow,↑,orange,➚,yellow,↑,green,↑,red,➚,yellow,➚,orange,➚,yellow,↑,green,↑,orange,,yellow,➚,red,➚,red,➚,red,→,red,→,green,↑,red,➚
Portugal,79.2,20,69.1,129,OECD,yellow,↑,red,➚,yellow,➚,yellow,→,yellow,↑,orange,↑,green,↑,yellow,➚,orange,↑,yellow,➚,yellow,➚,red,→,orange,➚,red,↓,orange,→,yellow,↑,orange,➚
Hungary,79.0,21,80.9,115,OECD,green,↑,red,→,orange,➚,orange,→,orange,➚,yellow,➚,orange,➚,orange,➚,orange,↑,yellow,→,yellow,➚,orange,➚,red,→,grey,,yellow,→,orange,➚,orange,➚
Iceland,78.9,22,51.4,158,OECD,green,↑,orange,➚,yellow,➚,yellow,➚,yellow,→,orange,↑,green,↑,orange,➚,yellow,➚,green,↑,orange,➚,red,➚,red,➚,orange,→,red,↓,green,↑,red,➚
Croatia,78.8,23,76.4,121,E. Europe & C. Asia,green,↑,orange,➚,yellow,↑,green,↑,orange,➚,yellow,↑,yellow,↑,yellow,↑,orange,↑,yellow,↑,orange,→,red,↑,red,↓,red,➚,yellow,→,orange,➚,orange,→
Slovak Republic,78.7,24,72.5,127,OECD,green,↑,red,→,orange,➚,orange,➚,orange,➚,yellow,➚,yellow,↑,orange,↑,red,➚,yellow,➚,orange,➚,orange,➚,red,→,grey,,yellow,↑,orange,➚,orange,→
Italy,78.3,25,73.6,125,OECD,yellow,➚,orange,➚,yellow,↑,orange,→,yellow,➚,yellow,↑,yellow,↑,orange,➚,red,↑,orange,→,orange,➚,orange,➚,red,➚,red,→,orange,➚,yellow,↑,orange,➚
New Zealand,78.3,26,67.2,135,OECD,yellow,↑,orange,➚,yellow,➚,yellow,➚,green,↑,orange,➚,green,↑,yellow,➚,orange,➚,orange,,yellow,➚,red,↓,red,➚,red,↓,red,→,orange,➚,red,➚
"Korea, Rep.",77.9,27,74.1,123,OECD,yellow,➚,orange,➚,orange,➚,yellow,➚,red,➚,orange,↑,orange,➚,yellow,➚,yellow,➚,red,→,yellow,➚,orange,➚,red,➚,red,↓,red,→,yellow,➚,red,➚
Chile,77.8,28,90.7,99,OECD,yellow,↑,red,➚,orange,➚,orange,➚,orange,➚,yellow,↑,yellow,↑,orange,➚,red,➚,red,→,orange,↑,orange,➚,red,→,yellow,➚,red,→,orange,→,yellow,↑
Canada,77.7,29,65.0,140,OECD,yellow,↑,orange,➚,orange,➚,green,↑,orange,➚,yellow,➚,yellow,➚,orange,➚,orange,↑,yellow,➚,yellow,➚,orange,↓,red,➚,orange,→,red,➚,yellow,➚,red,➚
Romania,77.7,30,90.5,100,E. Europe & C. Asia,yellow,↑,orange,➚,orange,➚,yellow,↓,orange,➚,yellow,↑,yellow,→,yellow,➚,orange,➚,orange,→,yellow,→,orange,→,orange,→,orange,➚,orange,→,orange,➚,yellow,➚
