id,Country,indexreg,pop_2021,sdg1_wpc,sdg1_320pov,sdg1_oecdpov,sdg2_undernsh,sdg2_stunting,sdg2_wasting,sdg2_obesity,sdg2_trophic,sdg2_crlyld,sdg2_snmi,sdg2_yieldgap,sdg2_pestexp,sdg3_matmort,sdg3_neonat,sdg3_u5mort,sdg3_tb,sdg3_hiv,sdg3_ncds,sdg3_pollmort,sdg3_traffic,sdg3_lifee,sdg3_fertility,sdg3_births,sdg3_vac,sdg3_uhc,sdg3_swb,sdg3_region,sdg3_incomeg,sdg3_smoke,sdg4_earlyedu,sdg4_primary,sdg4_second,sdg4_literacy,sdg4_tertiary,sdg4_pisa,sdg4_socioec,sdg4_science,sdg5_familypl,sdg5_edat,sdg5_lfpr,sdg5_parl,sdg5_paygap,sdg6_water,sdg6_sanita,sdg6_freshwat,sdg6_wastewat,sdg6_scarcew,sdg6_safewat,sdg6_safesan,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_ren,sdg8_adjgrowth,sdg8_slavery,sdg8_accounts,sdg8_unemp,sdg8_rights,sdg8_impacc,sdg8_empop,sdg8_yneet,sdg9_intuse,sdg9_mobuse,sdg9_lpi,sdg9_uni,sdg9_articles,sdg9_rdex,sdg9_rdres,sdg9_patents,sdg9_netacc,sdg9_womensci,sdg10_gini,sdg10_palma,sdg10_elder,sdg11_slums,sdg11_pm25,sdg11_pipedwat,sdg11_transport,sdg11_rentover,sdg12_msw,sdg12_ewaste,sdg12_so2prod,sdg12_so2import,sdg12_nprod,sdg12_nimport,sdg12_explastic,sdg12_mswrecycl,sdg13_co2gcp,sdg13_co2import,sdg13_co2export,sdg13_ecr,sdg14_cpma,sdg14_cleanwat,sdg14_fishstocks,sdg14_trawl,sdg14_discard,sdg14_biomar,sdg15_cpta,sdg15_cpfa,sdg15_redlist,sdg15_forchg,sdg15_biofrwter,sdg16_homicides,sdg16_detain,sdg16_safe,sdg16_prs,sdg16_u5reg,sdg16_cpi,sdg16_clabor,sdg16_weaponsexp,sdg16_rsf,sdg16_justice,sdg16_prison,sdg17_govex,sdg17_oda,sdg17_govrev,sdg17_cohaven,sdg17_secrecy,sdg17_sprofits,sdg17_statperf
AFG,Afghanistan,E. Europe & C. Asia,39835428,,,,25.6,38.2,5.1,5.5,2.19,2.165,0.68,,,638,35.2,58,193,0.04,35.27,211,15.86,63.21,62,58.8,66,37,2.4,,,,,,58.306,55.929,,,,,42.2,31.667,24.686,27.016,,75.091,50.5,54.76,0,453.553,,,97.7,36,8.855,,-6.63,22.192,14.893,18.546,0.443,0.021,,,18.4,19.215,1.807,0,0.007,0,,,,,,,,73.5,54.95,41.859,34,,0.436,0.63,1.668,0.141,5.92,0.161,0.002,,0.312,0.059,36.865,,,,,,,0,5.74,0,0.836,0,0.007,6.66,31.287,,,42.3,16,21.39,0,40.19,0.45,,4.298,,13.039,0,,,49.756
ALB,Albania,E. Europe & C. Asia,2872934,0.05,5.84,,3.9,11.3,1.6,21.7,2.383,4.84,0.829,,,15,7.8,9.8,15,0.03,11.4,68,11.7,78,14.2,99.8,91,62,5.3,,,,97.073,96.158,92.703,99.33,,,,,6.3,91.509,75.857,29.508,,95.068,99.299,5.76,2.672,2527.964,,,100,80.7,0.891,31.774,-2.503,6.871,40.015,10.859,0.483,0.194,,,72.24,62.104,2.294,0,0.213,0.154,,,,,33.2,1.272,,13.2,17.541,83.73,48,,1.034,7.446,3.939,1.381,14.432,1.863,,,1.576,0.485,,,70.698,56.83,,84.347,24.719,0.047,50.487,96.613,0.835,0.001,0.56,2.12,44.876,,3.285,98.4,35,3.3,0,30.59,0.557,,6.771,,25.144,0,,,75.383
DZA,Algeria,MENA,44616626,0.33,2.42,,2.5,9.8,2.7,27.4,2.199,1.759,0.705,,,112,16.3,22.7,59,0.04,13.86,50,20.9,77.13,12,96.6,80,75,5.2,,,,84.73,99.823,82.921,97.427,,,,,77.2,92.771,24.124,25.758,,94.437,85.965,137.92,33.12,801.906,,,99.5,99.3,2.204,0.13,-5.533,2.655,42.777,12.216,0.526,0.108,,,62.9,89.82,2.421,30.283,0.182,0.543,,,,,27.6,0.991,,,41.256,76.105,47,,0.836,7.107,2.149,0.967,6.517,0.852,0.035,,3.535,0.307,3110.934,,76.583,41.58,19.59,21.389,13.53,0.005,36.468,76.274,0.909,0.568,0.272,1.32,12,,4.078,99.6,33,4.26,0,47.26,0.581,,10.159,,,0,,,55.149
AND,Andorra,E. Europe & C. Asia,77354,,,,1.17,2.58,0.7,25.6,,,,,,,1.3,2.5,3,,,,,,2.7,100,98,,,,,,,,,,,,,,,98.113,,46.429,,100,100,,100,,,,100,100,,,,,,,,1.238,,,91.567,66.112,,0,0.466,,,,,,,,,,11.189,100,,,1.429,,,,0,18.061,12.989,,6.035,,0.001,,,,,,,,26.085,,0.91,0,0.556,2.59,42.857,,,100,,,0,23.32,,,7.814,,,69.049,,,
AGO,Angola,Sub-Saharan Africa,33933611,53.83,75.69,,17.3,37.6,4.9,8.2,2.131,0.753,0.935,,0.021,241,27.3,71.5,350,0.69,22.25,119,26.13,63.06,163,46.6,44,39,3.8,,,,65.159,81.599,20.739,77.431,,,,,29.8,62.5,93.426,30,,57.168,51.66,1.872,0,493.161,,,45.67,49.6,1.844,49.527,-9.169,7.151,29.318,8.286,0.468,0.085,,,36,21.179,1.857,0,0.004,0.032,,,,,51.3,3.443,,47,32.322,59.482,32,,0.46,4.151,1.832,0.58,5.128,0.854,0.004,,0.675,0.19,115.958,,66.58,55.34,11.52,26.837,8.543,0.191,28.054,42.834,0.928,0.21,0.642,4.85,47.985,,3.368,25,29,18.724,0,34.06,0.5,,2.866,,20.261,0,,,54.946
ATG,Antigua and Barbuda,LAC,98728,,,,1.17,2.58,0.7,18.9,2.418,1.584,1.308,,,42,3.5,6.4,2.3,,17.55,30,0,76.45,27.7,100,89,72,,,,,91.066,99.31,98.649,,,,,,,,,11.111,,96.739,87.504,8.46,1.298,,,,100,100,1.554,,-6.319,,,,0.84,0.636,,,73,49.424,,0,0.235,,,,,,,,,,17.641,,,,0.927,12.673,,,5.664,12.229,0.275,,4.395,,0,,29.071,61.67,20.66,0,0,0.853,26.902,,0.885,0.155,0.299,3.09,38.544,,,,,,0,,0.739,,5.918,,,0,,,
ARG,Argentina,LAC,45605823,0.73,2.96,,3.9,7.9,1.6,28.3,2.405,4.671,0.318,,1.13,39,4.6,8.6,31,0.13,15.72,27,14.06,76.58,49.9,93.9,74,73,5.9,,,,99.274,99.578,93.539,99.506,,,,,,103.738,70.519,40.856,,99.024,95.418,10.46,5.924,491.587,,,100,99.8,1.293,8.571,-7.462,1.261,48.708,10.58,0.649,0.295,,,85.5,72.044,2.774,19.217,0.345,0.494,,,,,42.9,2.007,,14.7,12.612,98.935,54,,1.151,10.315,11.494,1.88,36.128,2.06,0.067,,3.473,0.566,204.504,,42.332,82.18,60.99,34.372,6.201,0.036,32.137,42.513,0.843,0.363,0.531,5.14,45.448,,3.39,99.5,38,,0,28.99,0.735,,10.733,,18.527,0,,,64.596
ARM,Armenia,E. Europe & C. Asia,2968128,1.08,10.71,,3.4,9.4,4.4,20.2,2.28,2.624,0.588,,,26,5.7,10.9,23,0.11,19.93,55,19.95,76.03,18.9,99.8,91,69,5.3,,,,62.948,89.523,90.104,99.874,,,,,40.2,100,67.218,23.485,,99.971,93.937,54.75,8.848,1556.058,,,100,98.1,0.853,8.808,-1.108,5.341,47.759,20.781,,0.12,,,76.51,78.801,2.484,0,0.397,0.189,,,,,29.9,1.438,,8.2,32.241,99.954,47,,0.464,5.825,2.574,1.494,7.709,0.96,0.027,,1.988,0.551,0,,,,,,,0.006,22.569,30.53,0.829,0,0.064,1.75,45.79,,4.881,98.7,49,4.1,0,28.83,,,4.111,,23.941,0,,,82.227
AUS,Australia,OECD,25788217,0.2,0.25,12.4,2.5,2,0,29,2.468,2.035,0.631,47.685,24.342,6,2.4,3.7,7.3,0.03,8.59,8,4.94,83.04,9.4,96.7,95,87,7.1,10,8.9,11.2,83.461,99.315,99.917,,54.614,499,10.028,18.86,85.6,100.787,85.965,30.464,12.267,99.97,99.991,4.66,92.7,2508.407,100,82.191,100,100,1.464,7.313,1.066,0.648,99.519,4.964,0.683,2.183,74.971,14.244,89.6,129.92,3.968,72.6,4.181,1.875,9.034,14.506,57,32.076,34.4,1.3,23.7,0,8.124,92.372,63,7.728,1.528,21.679,36.565,10.252,71.767,6.861,3.874,0.831,15.368,3.312,37396.469,20.356,64.598,80.52,38.78,15.761,8.556,0.781,56.613,37.7,0.816,0.052,2.682,0.87,31.528,,6.044,100,73,0,0.603,19.79,0.584,176.511,12.212,0.215,,0,50.088,25.239,88.242
AUT,Austria,OECD,9043072,0.35,0.43,10,2.5,2.58,0.7,20.1,2.412,6.16,0.388,69.708,25.728,5,2.3,3.6,4.9,1,10.37,15,4.87,81.65,5.5,98.4,85,82,7.1,2.2,20.9,20.6,98.517,99.944,97.645,,41.419,491,14.835,21.851,,94.574,84.087,39.344,13.325,100,99.973,9.64,94,3598.151,98.901,99.643,100,100,0.891,29.852,-1.131,1.738,98.164,5.41,0.809,1.677,71.725,11.57,87.529,107.384,4.182,54.883,3.034,3.211,11.628,42.96,14.158,25.903,30.8,0.95,10.1,0,11.945,,74,5.813,1.597,18.802,11.108,9.272,12.282,16.899,19.554,0.654,6.732,4.106,191.9,47.615,,,,,,0.071,67.363,71.22,0.895,0.003,4.483,0.72,19.985,,6.247,100,74,0,0.127,16.34,0.687,101.305,12.843,0.307,,51.588,56.5,5.295,89.12
